configuration_id,wpa_enabled,wpa2_enabled,tkip_enabled,ccmp_enabled,router_mode,channel_width,disassoc_low_ack,skip_inactivity_poll,hidden_ssid
1,0,0,0,0,N,20,1,0,1
2,0,0,0,0,N,40,1,0,1
3,0,0,0,0,AC,20,1,0,1
4,0,0,0,0,AC,40,1,0,1
5,0,0,0,0,AC,80,1,0,1
6,1,0,1,0,N,20,1,0,1
7,1,0,1,0,N,40,1,0,1
8,1,0,1,0,AC,20,1,0,1
9,1,0,1,0,AC,40,1,0,1
10,1,0,1,0,AC,80,1,0,1
11,1,0,0,1,N,20,1,0,1
12,1,0,0,1,N,40,1,0,1
13,1,0,0,1,AC,20,1,0,1
14,1,0,0,1,AC,40,1,0,1
15,1,0,0,1,AC,80,1,0,1
16,1,0,1,1,N,20,1,0,1
17,1,0,1,1,N,40,1,0,1
18,1,0,1,1,AC,20,1,0,1
19,1,0,1,1,AC,40,1,0,1
20,1,0,1,1,AC,80,1,0,1
21,0,1,1,0,N,20,1,0,1
22,0,1,1,0,N,40,1,0,1
23,0,1,1,0,AC,20,1,0,1
24,0,1,1,0,AC,40,1,0,1
25,0,1,1,0,AC,80,1,0,1
26,0,1,0,1,N,20,1,0,1
27,0,1,0,1,N,40,1,0,1
28,0,1,0,1,AC,20,1,0,1
29,0,1,0,1,AC,40,1,0,1
30,0,1,0,1,AC,80,1,0,1
31,0,1,1,1,N,20,1,0,1
32,0,1,1,1,N,40,1,0,1
33,0,1,1,1,AC,20,1,0,1
34,0,1,1,1,AC,40,1,0,1
35,0,1,1,1,AC,80,1,0,1
36,1,1,0,1,N,20,1,0,1
37,1,1,0,1,N,40,1,0,1
38,1,1,0,1,AC,20,1,0,1
39,1,1,0,1,AC,40,1,0,1
40,1,1,0,1,AC,80,1,0,1
41,0,0,0,0,N,20,0,0,1
42,0,0,0,0,N,40,0,0,1
43,0,0,0,0,AC,20,0,0,1
44,0,0,0,0,AC,40,0,0,1
45,0,0,0,0,AC,80,0,0,1
46,1,0,1,0,N,20,0,0,1
47,1,0,1,0,N,40,0,0,1
48,1,0,1,0,AC,20,0,0,1
49,1,0,1,0,AC,40,0,0,1
50,1,0,1,0,AC,80,0,0,1
51,1,0,0,1,N,20,0,0,1
52,1,0,0,1,N,40,0,0,1
53,1,0,0,1,AC,20,0,0,1
54,1,0,0,1,AC,40,0,0,1
55,1,0,0,1,AC,80,0,0,1
56,1,0,1,1,N,20,0,0,1
57,1,0,1,1,N,40,0,0,1
58,1,0,1,1,AC,20,0,0,1
59,1,0,1,1,AC,40,0,0,1
60,1,0,1,1,AC,80,0,0,1
61,0,1,1,0,N,20,0,0,1
62,0,1,1,0,N,40,0,0,1
63,0,1,1,0,AC,20,0,0,1
64,0,1,1,0,AC,40,0,0,1
65,0,1,1,0,AC,80,0,0,1
66,0,1,0,1,N,20,0,0,1
67,0,1,0,1,N,40,0,0,1
68,0,1,0,1,AC,20,0,0,1
69,0,1,0,1,AC,40,0,0,1
30,0,1,0,1,AC,80,0,0,1
71,0,1,1,1,N,20,0,0,1
72,0,1,1,1,N,40,0,0,1
73,0,1,1,1,AC,20,0,0,1
74,0,1,1,1,AC,40,0,0,1
75,0,1,1,1,AC,80,0,0,1
76,1,1,0,1,N,20,0,0,1
77,1,1,0,1,N,40,0,0,1
78,1,1,0,1,AC,20,0,0,1
79,1,1,0,1,AC,40,0,0,1
80,1,1,0,1,AC,80,0,0,1
81,0,0,0,0,N,20,1,1,1
82,0,0,0,0,N,40,1,1,1
83,0,0,0,0,AC,20,1,1,1
84,0,0,0,0,AC,40,1,1,1
85,0,0,0,0,AC,80,1,1,1
86,1,0,1,0,N,20,1,1,1
87,1,0,1,0,N,40,1,1,1
88,1,0,1,0,AC,20,1,1,1
89,1,0,1,0,AC,40,1,1,1
90,1,0,1,0,AC,80,1,1,1
91,1,0,0,1,N,20,1,1,1
92,1,0,0,1,N,40,1,1,1
93,1,0,0,1,AC,20,1,1,1
94,1,0,0,1,AC,40,1,1,1
95,1,0,0,1,AC,80,1,1,1
96,1,0,1,1,N,20,1,1,1
97,1,0,1,1,N,40,1,1,1
98,1,0,1,1,AC,20,1,1,1
99,1,0,1,1,AC,40,1,1,1
100,1,0,1,1,AC,80,1,1,1
101,0,1,1,0,N,20,1,1,1
102,0,1,1,0,N,40,1,1,1
103,0,1,1,0,AC,20,1,1,1
104,0,1,1,0,AC,40,1,1,1
105,0,1,1,0,AC,80,1,1,1
106,0,1,0,1,N,20,1,1,1
107,0,1,0,1,N,40,1,1,1
108,0,1,0,1,AC,20,1,1,1
109,0,1,0,1,AC,40,1,1,1
110,0,1,0,1,AC,80,1,1,1
111,0,1,1,1,N,20,1,1,1
112,0,1,1,1,N,40,1,1,1
113,0,1,1,1,AC,20,1,1,1
114,0,1,1,1,AC,40,1,1,1
115,0,1,1,1,AC,80,1,1,1
116,1,1,0,1,N,20,1,1,1
117,1,1,0,1,N,40,1,1,1
118,1,1,0,1,AC,20,1,1,1
119,1,1,0,1,AC,40,1,1,1
120,1,1,0,1,AC,80,1,1,1
121,0,0,0,0,N,20,0,1,1
122,0,0,0,0,N,40,0,1,1
123,0,0,0,0,AC,20,0,1,1
124,0,0,0,0,AC,40,0,1,1
125,0,0,0,0,AC,80,0,1,1
126,1,0,1,0,N,20,0,1,1
127,1,0,1,0,N,40,0,1,1
128,1,0,1,0,AC,20,0,1,1
129,1,0,1,0,AC,40,0,1,1
130,1,0,1,0,AC,80,0,1,1
131,1,0,0,1,N,20,0,1,1
132,1,0,0,1,N,40,0,1,1
133,1,0,0,1,AC,20,0,1,1
134,1,0,0,1,AC,40,0,1,1
135,1,0,0,1,AC,80,0,1,1
136,1,0,1,1,N,20,0,1,1
137,1,0,1,1,N,40,0,1,1
138,1,0,1,1,AC,20,0,1,1
139,1,0,1,1,AC,40,0,1,1
140,1,0,1,1,AC,80,0,1,1
141,0,1,1,0,N,20,0,1,1
142,0,1,1,0,N,40,0,1,1
143,0,1,1,0,AC,20,0,1,1
144,0,1,1,0,AC,40,0,1,1
145,0,1,1,0,AC,80,0,1,1
146,0,1,0,1,N,20,0,1,1
147,0,1,0,1,N,40,0,1,1
148,0,1,0,1,AC,20,0,1,1
149,0,1,0,1,AC,40,0,1,1
150,0,1,0,1,AC,80,0,1,1
151,0,1,1,1,N,20,0,1,1
152,0,1,1,1,N,40,0,1,1
153,0,1,1,1,AC,20,0,1,1
154,0,1,1,1,AC,40,0,1,1
155,0,1,1,1,AC,80,0,1,1
156,1,1,0,1,N,20,0,1,1
157,1,1,0,1,N,40,0,1,1
158,1,1,0,1,AC,20,0,1,1
159,1,1,0,1,AC,40,0,1,1
160,1,1,0,1,AC,80,0,1,1