test_id,bytes,filetype,direction
0,6455296,csv,down
1,5120512,doc,down
2,30789588,jpg,down
3,725240,mp3,down
4,17839845,mp4,down
5,5195548,pdf,down
6,500001,txt,down
7,6971392,xls,down
8,48005120,zip,down
9,3997696,csv,down
10,2048000,doc,down
11,21348301,jpg,down
12,443926,mp3,down
13,31491130,mp4,down
14,3000006,txt,down
15,51039935,zip,down
16,15882755,jpg,down
17,21069678,mp4,down
18,6455296,csv,up
19,5120512,doc,up
20,30789588,jpg,up
21,725240,mp3,up
22,17839845,mp4,up
23,5195548,pdf,up
24,500001,txt,up
25,6971392,xls,up
26,48005120,zip,up
27,3997696,csv,up
28,2048000,doc,up
29,21348301,jpg,up
30,443926,mp3,up
31,31491130,mp4,up
32,3000006,txt,up
33,51039935,zip,up
34,15882755,jpg,up
35,21069678,mp4,up